Child's First Name,Year of Birth,Gender,ASIAN AND PACIFIC ISLANDER,BLACK NON HISPANIC,HISPANIC,WHITE NON HISPANIC,overall_count,rank
JESSICA,2011,FEMALE,2808,0,4968,2376,10152,67.0
JESSIE,2011,FEMALE,648,0,0,0,648,371.0
JIA,2011,FEMALE,432,0,0,0,432,508.0
JIMENA,2011,FEMALE,0,0,396,0,396,546.0
JOANNA,2011,FEMALE,1368,0,0,0,1368,253.0
JOCELYN,2011,FEMALE,1080,0,3312,0,4392,132.0
JOHANNA,2011,FEMALE,0,0,432,0,432,508.0
JORDYN,2011,FEMALE,0,1152,0,792,1944,218.0
JOSELYN,2011,FEMALE,0,0,1080,0,1080,273.0
JOSEPHINE,2011,FEMALE,0,0,0,1188,1188,262.0
JOY,2011,FEMALE,504,0,0,0,504,442.0
JOYCE,2011,FEMALE,1584,0,0,1008,2592,182.0
JULIA,2011,FEMALE,3456,1440,3168,16704,24768,25.0
JULIANA,2011,FEMALE,0,0,1152,2736,3888,143.0
JULIANNA,2011,FEMALE,0,0,1512,2016,3528,154.0
JULIE,2011,FEMALE,0,0,0,360,360,587.0
JULIET,2011,FEMALE,0,0,1440,2592,4032,141.0
JULIETTE,2011,FEMALE,0,0,1080,1656,2736,179.0
JULISSA,2011,FEMALE,0,0,576,0,576,394.0
KAELYN,2011,FEMALE,0,0,396,0,396,546.0
KAI,2011,FEMALE,0,360,0,0,360,587.0
KAILEY,2011,FEMALE,0,0,720,0,720,344.0
KAILYN,2011,FEMALE,0,0,396,0,396,546.0
KAITLYN,2011,FEMALE,1584,3024,4464,2448,11520,59.0
KALIYAH,2011,FEMALE,0,504,0,0,504,442.0
KAMILA,2011,FEMALE,0,0,1296,0,1296,258.0
KAMIYAH,2011,FEMALE,0,360,0,0,360,587.0
KAREN,2011,FEMALE,1584,0,2952,0,4536,126.0
KARLA,2011,FEMALE,0,0,900,0,900,298.0
KATE,2011,FEMALE,1080,0,2916,1836,5832,98.0
KATELYN,2011,FEMALE,1008,0,1656,0,2664,181.0
KATELYNN,2011,FEMALE,0,0,360,0,360,587.0
KATHERINE,2011,FEMALE,2268,0,6480,4752,13500,48.0
KATHRYN,2011,FEMALE,0,0,0,432,432,508.0
KATIE,2011,FEMALE,1296,0,864,0,2160,206.0
KAYLA,2011,FEMALE,3024,11232,8928,6480,29664,19.0
KAYLEE,2011,FEMALE,2880,3600,11952,1584,20016,32.0
KAYLEEN,2011,FEMALE,0,0,684,0,684,361.0
KAYLEIGH,2011,FEMALE,0,0,360,0,360,587.0
KAYLIE,2011,FEMALE,0,0,540,0,540,417.0
KAYLIN,2011,FEMALE,0,0,432,0,432,508.0
KEILY,2011,FEMALE,0,0,612,0,612,379.0
KELLY,2011,FEMALE,1584,0,2952,0,4536,126.0
KELSEY,2011,FEMALE,0,396,0,0,396,546.0
KENDRA,2011,FEMALE,0,432,0,0,432,508.0
KENNEDY,2011,FEMALE,0,468,0,0,468,474.0
KENYA,2011,FEMALE,0,360,0,0,360,587.0
KEYLA,2011,FEMALE,0,0,432,0,432,508.0
KHLOE,2011,FEMALE,1105,4284,5814,0,11203,62.0
KIARA,2011,FEMALE,0,936,2592,0,3528,154.0
KIMBERLY,2011,FEMALE,0,0,3708,0,3708,149.0
KIMORA,2011,FEMALE,0,828,0,0,828,315.0
KIRA,2011,FEMALE,0,0,0,396,396,546.0
KRYSTAL,2011,FEMALE,0,0,468,0,468,474.0
KYLA,2011,FEMALE,0,432,0,0,432,508.0
KYLEE,2011,FEMALE,0,0,360,0,360,587.0
KYLIE,2011,FEMALE,1584,2736,5328,1872,11520,59.0
LAILA,2011,FEMALE,0,4212,3132,2484,9828,69.0
LARA,2011,FEMALE,0,0,0,468,468,474.0
LAURA,2011,FEMALE,0,0,1008,1296,2304,195.0
LAUREN,2011,FEMALE,1872,3888,3024,3744,12528,55.0
LAYLA,2011,FEMALE,0,3240,5616,3132,11988,57.0
LEA,2011,FEMALE,0,0,720,2088,2808,175.0
LEAH,2011,FEMALE,2304,5616,17712,26352,51984,8.0
LEELA,2011,FEMALE,360,0,0,0,360,587.0
LEILA,2011,FEMALE,0,0,1440,720,2160,206.0
LEILANI,2011,FEMALE,0,936,2376,0,3312,162.0
LENA,2011,FEMALE,0,0,0,1044,1044,277.0
LEORA,2011,FEMALE,0,0,0,432,432,508.0
LESLEY,2011,FEMALE,0,0,432,0,432,508.0
LESLIE,2011,FEMALE,0,0,2376,0,2376,191.0
LESLY,2011,FEMALE,0,0,576,0,576,394.0
LEYLA,2011,FEMALE,0,0,360,0,360,587.0
LIA,2011,FEMALE,0,0,1872,1656,3528,154.0
LIANA,2011,FEMALE,0,0,1296,1224,2520,188.0
LIBA,2011,FEMALE,0,0,0,720,720,344.0
LIBBY,2011,FEMALE,0,0,0,828,828,315.0
LILA,2011,FEMALE,0,0,0,1224,1224,260.0
LILAH,2011,FEMALE,0,0,0,432,432,508.0
LILIANA,2011,FEMALE,0,0,2016,2088,4104,138.0
LILLIAN,2011,FEMALE,1152,0,0,3384,4536,126.0
LILLY,2011,FEMALE,0,0,0,468,468,474.0
LILY,2011,FEMALE,1620,0,2268,8748,12636,54.0
LINA,2011,FEMALE,0,0,0,468,468,474.0
LINDSAY,2011,FEMALE,0,0,432,0,432,508.0
LIZBETH,2011,FEMALE,0,0,1080,0,1080,273.0
LOLA,2011,FEMALE,0,0,0,792,792,323.0
LONDON,2011,FEMALE,0,9936,2916,1080,13932,46.0
LONDYN,2011,FEMALE,0,900,0,0,900,298.0
LUCIA,2011,FEMALE,0,0,1320,1265,2585,187.0
LUCY,2011,FEMALE,0,0,0,1692,1692,236.0
LUNA,2011,FEMALE,0,0,864,0,864,309.0
LUZ,2011,FEMALE,0,0,900,0,900,298.0
LYLA,2011,FEMALE,0,0,0,756,756,337.0
LYRIC,2011,FEMALE,0,468,0,0,468,474.0
MACKENZIE,2011,FEMALE,0,720,0,1296,2016,213.0
MADELEINE,2011,FEMALE,0,0,0,864,864,309.0
MADELINE,2011,FEMALE,0,0,1080,2808,3888,143.0
MADELYN,2011,FEMALE,0,0,1152,1080,2232,200.0
MADISON,2011,FEMALE,2736,25344,17568,8208,53856,7.0
MAEVE,2011,FEMALE,0,0,0,756,756,337.0
MAGGIE,2011,FEMALE,360,0,0,0,360,587.0
MAKAYLA,2011,FEMALE,0,7236,3456,1296,11988,57.0
MALAK,2011,FEMALE,0,0,0,540,540,417.0
MALIA,2011,FEMALE,0,612,0,0,612,379.0
MALIYAH,2011,FEMALE,0,504,0,0,504,442.0
MALKA,2011,FEMALE,0,0,0,2268,2268,199.0
MALKY,2011,FEMALE,0,0,0,2124,2124,210.0
MANDY,2011,FEMALE,432,0,0,0,432,508.0
MARGARET,2011,FEMALE,0,0,0,900,900,298.0
MARIA,2011,FEMALE,0,0,4248,2808,7056,84.0
MARIAH,2011,FEMALE,0,1512,2376,0,3888,143.0
MARIAM,2011,FEMALE,0,2304,0,1224,3528,154.0
MARIAMA,2011,FEMALE,0,792,0,0,792,323.0
MARIANA,2011,FEMALE,0,0,432,0,432,508.0
MARILYN,2011,FEMALE,0,0,360,0,360,587.0
MARISOL,2011,FEMALE,0,0,360,0,360,587.0
MARY,2011,FEMALE,0,0,0,576,576,394.0
MARYAM,2011,FEMALE,1224,720,0,0,1944,218.0
MATILDA,2011,FEMALE,0,0,0,504,504,442.0
MAYA,2011,FEMALE,3888,3600,7056,13536,28080,21.0
MCKENZIE,2011,FEMALE,0,900,0,0,900,298.0
MEGAN,2011,FEMALE,720,0,792,0,1512,245.0
MELANIE,2011,FEMALE,0,1944,11772,1296,15012,44.0
MELANY,2011,FEMALE,0,0,504,0,504,442.0
MELISSA,2011,FEMALE,0,0,1800,0,1800,230.0
MELODY,2011,FEMALE,936,0,1656,0,2592,182.0
MIA,2011,FEMALE,5184,5184,32976,16704,60048,4.0
MIAH,2011,FEMALE,0,0,612,0,612,379.0
MICHAELA,2011,FEMALE,0,0,0,540,540,417.0
MICHAL,2011,FEMALE,0,0,0,576,576,394.0
